index,pro,lig
190,1346,7
191,1254,3
192,1956,10
193,1036,11
194,930,10
195,1852,8
196,3006,28
197,615,2
198,1356,5
199,3448,13
200,420,6
201,447,2
202,1930,5
203,1080,8
204,753,4
205,357,2
206,1749,6
207,1038,4
208,1585,11
209,1172,8
210,420,5
211,1262,4
212,521,3
213,263,7
214,793,2
215,1097,8
216,1790,7
217,1509,2
218,445,5
219,607,4
220,1526,8
221,890,5
222,926,9
223,521,2
224,532,4
225,6020,74
226,2672,27
227,864,6
228,928,6
229,1386,7
230,2755,5
231,528,4
232,2035,8
233,463,9
234,337,2
235,755,8
236,1714,4
237,516,3
238,761,3
239,1717,6
240,1440,18
241,1077,4
242,657,4
243,742,4
244,573,5
245,1706,5
246,838,2
247,498,10
248,1262,4
249,2729,7
250,241,6
251,964,8
252,3894,14
253,1122,2
254,2580,15
255,431,8
256,5560,17
257,1467,7
258,740,5
259,508,6
260,1308,2
261,1818,4
262,537,4
263,651,4
264,1348,8
265,1020,5
266,1551,7
267,1994,5
268,965,8
269,2680,67
270,519,1
271,506,20
272,615,4
273,1528,8
274,1050,6
275,2368,16
276,1973,5
277,1928,16
278,757,15
279,1332,10
280,611,3
281,2324,9
282,1135,10
283,380,7
284,644,5
285,3095,9
286,420,5
287,920,25
288,1256,3
289,2166,9
290,3338,5
291,1032,5
292,6140,18
293,9660,34
294,713,3
295,1488,2
296,627,5
297,1452,18
298,1094,2
299,502,6
300,1215,48
301,2136,8
302,534,6
303,1586,12
304,559,5
305,591,5
306,1153,6
307,6442,60
308,734,5
309,440,5
310,557,4
311,522,5
312,634,5
313,442,4
314,2220,11
315,944,5
316,836,5
317,0,3
318,219,8
319,646,3
320,591,5
321,537,5
322,1924,10
323,2120,12
324,1208,5
325,537,3
326,5087,2
327,12244,59
328,385,10
329,5280,11
330,463,2
331,640,2
332,1896,15
333,579,7
334,620,8
335,4512,9
336,732,4
337,1742,17
338,593,6
339,854,12
340,1721,2
341,570,2
342,1960,19
343,1047,13
344,384,8
345,6420,300
346,2048,5
347,604,5
348,700,6
349,1516,35
350,3065,10
351,560,2
352,2086,12
353,449,5
354,1064,7
355,906,13
356,520,4
357,531,3
358,676,2
359,591,3
360,803,5
361,1089,7
362,677,2
363,1682,7
364,1645,8
365,802,13
366,472,7
367,1358,10
368,1857,8
369,449,5
370,413,5
371,2748,9
372,652,3
373,678,4
374,1123,4
375,518,5
376,206,8
377,3834,14
378,1716,7
379,720,5
380,7170,11
381,614,7
382,527,5
383,1181,4
384,254,3
385,926,2
386,3066,8
387,809,4
388,607,3
389,472,2
390,679,4
391,310,1
392,384,8
393,525,6
394,438,6
395,241,5
396,2166,4
397,1238,8
398,520,5
399,459,3
400,245,16
401,620,3
402,1346,4
403,12726,75
404,1468,22
405,6116,6
406,1055,5
407,688,10
408,1061,20
409,425,4
410,707,4
411,846,3
412,1078,13
413,501,2
414,592,6
415,1358,10
416,737,2
417,384,10
418,436,2
419,381,8
420,2148,9
421,678,10
422,591,6
423,632,6
424,1252,4
425,1874,24
426,770,3
427,545,6
428,467,1
429,659,15
430,810,14
431,3648,13
432,637,3
433,697,4
434,966,7
435,537,4
436,721,4
437,555,4
438,1863,7
439,1488,15
440,396,6
441,383,8
442,258,12
443,591,6
444,2388,9
445,1470,3
446,777,4
447,248,3
448,1443,9
449,856,14
450,494,4
451,327,6
452,889,4
453,2088,20
454,1795,4
455,749,3
456,3834,15
457,3134,22
458,1721,6
459,750,4
460,1495,5
461,555,5
462,637,6
463,469,1
464,608,5
465,2024,11
466,716,7
467,264,5
468,596,5
469,614,5
470,2220,2
471,1953,2
472,1478,3
473,609,8
474,733,4
475,436,2
476,700,7
477,673,6
478,0,6
479,1705,3
480,1358,11
481,689,5
482,1367,2
483,815,3
484,581,6
485,0,17
486,423,2
487,3919,10
488,431,5
489,436,2
490,588,9
491,1099,19
492,724,5
493,677,2
494,1494,2
495,1085,9
496,617,3
497,1582,5
498,429,4
499,600,3
500,384,8
501,545,4
502,560,3
503,590,5
504,1151,8
505,1170,6
506,3917,10
507,1040,5
508,597,5
509,734,4
510,2922,9
511,870,9
512,1142,9
513,284,6
514,1060,18
515,1721,4
516,517,4
517,800,3
518,530,5
519,425,5
520,292,2
521,436,2
522,428,2
523,685,6
524,695,5
525,519,6
526,1162,2
527,451,4
528,328,4
529,2035,5
530,224,15
531,640,2
532,598,5
533,1844,14
534,1432,9
535,525,2
536,450,5
537,1358,12
538,2125,6
539,1038,3
540,1004,4
541,597,2
542,1436,3
543,521,5
544,654,5
545,646,9
546,1596,4
547,257,8
548,693,8
549,494,6
550,6133,17
551,674,2
552,668,4
553,2152,5
554,632,4
555,1717,5
556,2861,22
557,9588,7
558,336,4
559,505,8
560,1065,20
561,443,5
562,764,5
563,339,4
564,582,6
565,248,4
566,554,7
567,9660,28
568,2548,10
569,5314,7
570,2588,21
571,613,4
572,533,3
573,619,6
574,1364,8
575,270,2
576,647,3
577,532,7
578,2122,26
579,570,5
580,564,5
581,518,4
582,498,5
583,594,5
584,1485,9
585,760,3
586,657,5
587,432,8
588,1906,17
589,589,6
590,3796,2
591,1097,10
592,852,3
593,1716,5
594,2035,5
595,502,2
596,930,10
597,670,1
598,502,6
599,3834,16
600,2671,12
601,1060,10
602,384,15
603,3066,11
604,631,4
605,1705,3
606,526,6
607,644,3
608,1342,5
609,1642,15
610,1038,6
611,1113,1
612,3841,15
613,777,3
614,798,4
615,1512,16
616,450,3
617,342,5
618,1082,2
619,456,4
620,415,7
621,1353,9
622,557,5
623,687,3
624,1087,6
625,6942,96
626,590,7
627,1290,10
628,1989,4
629,1329,22
630,615,3
631,4320,150
632,1581,4
633,456,2
634,431,6
635,1046,1
636,266,4
637,781,2
638,2876,13
639,894,12
640,1459,23
641,505,6
642,1956,20
643,1198,10
644,533,3
645,224,8
646,1723,6
647,579,3
648,518,4
649,1630,10
650,620,3
651,768,14
652,1582,4
653,812,4
654,557,4
655,672,11
656,1014,12
657,6072,21
658,382,10
659,581,6
660,1348,4
661,452,6
662,4514,18
663,1033,12
664,728,7
665,1349,9
666,846,9
667,648,16
668,4068,6
669,1711,3
670,473,3
671,445,5
672,1481,8
673,1721,4
674,722,6
675,2064,10
676,590,3
677,297,10
678,1392,5
679,431,4
680,3921,10
681,384,6
682,1358,10
683,1697,6
684,1552,5
685,1036,14
686,1747,3
687,1074,27
688,466,7
689,510,5
690,745,12
691,13360,131
692,1209,14
693,860,2
694,3066,10
695,473,6
696,383,9
697,612,5
698,1015,6
699,1412,29
700,1016,32
701,310,1
702,1662,3
703,522,11
704,646,7
705,6096,14
706,1944,7
707,620,5
708,810,7
709,498,4
710,428,17
711,568,3
712,2971,11
713,1040,9
714,2400,8
715,1697,5
716,1371,4
717,977,7
718,9030,220
719,9660,54
720,2004,35
721,1102,5
722,1076,5
723,646,5
724,1972,10
725,450,5
726,385,3
727,572,7
728,215,5
729,523,6
730,1052,28
731,1157,11
732,884,4
733,4700,5
734,1064,11
735,1429,8
736,590,4
737,520,4
738,224,7
739,8042,5
740,1891,5
741,2302,9
742,864,11
743,1295,3
744,382,5
745,815,4
746,593,5
747,1461,10
748,1276,7
749,596,5
750,1041,6
751,957,7
752,12810,55
753,753,4
754,519,4
755,1022,6
756,1048,4
757,657,3
758,2548,11
759,1027,10
760,555,6
761,1586,3
762,366,3
763,8040,84
764,1503,6
765,384,6
766,3060,4
767,1254,2
768,1209,4
769,2104,2
770,737,4
771,531,5
772,1747,3
773,1482,9
774,794,4
775,222,6
776,531,3
777,734,2
778,505,4
779,337,2
780,1694,3
781,4240,74
782,441,5
783,403,9
784,2372,2
785,614,3
786,1856,18
787,663,4
788,1254,5
789,375,9
790,323,9
791,807,5
792,574,5
793,446,5
794,0,20
795,600,4
796,3085,20
797,437,5
798,610,3
799,2748,9
800,1506,3
801,740,5
802,771,5
803,537,5
804,616,6
805,1326,11
806,3572,12
807,2243,4
808,578,6
809,596,5
810,1657,19
811,3704,5
812,425,4
813,2449,3
814,1666,4
815,657,3
816,2190,2
817,692,6
818,1042,7
819,412,9
820,337,2
821,686,5
822,470,5
823,964,10
824,460,5
825,463,6
826,4186,27
827,648,2
828,623,5
829,605,4
830,1408,8
831,2090,14
832,1464,5
833,420,7
834,386,11
835,587,5
836,708,5
837,1747,3
838,539,9
839,306,7
840,815,4
841,330,5
842,1716,10
843,578,5
844,902,5
845,3302,11
846,1106,14
847,612,3
848,339,2
849,1254,4
850,1785,1
851,1051,3
852,983,18
853,1099,10
854,607,6
855,808,7
856,620,3
857,821,6
858,1381,4
859,452,5
860,2053,12
861,1912,4
862,544,6
863,1711,6
864,2324,8
865,882,13
866,1989,4
867,596,6
868,4240,16
869,1082,27
870,620,2
871,493,8
872,3834,13
873,324,5
874,476,2
875,1186,6
876,224,3
877,574,3
878,481,8
879,1486,4
880,618,6
881,1262,6
882,537,7
883,1358,10
884,224,7
885,1156,6
886,1460,12
887,555,4
888,2904,8
889,224,3
890,1444,7
891,878,10
892,619,4
893,436,6
894,520,7
895,1062,21
896,450,4
897,719,4
898,1014,2
899,1600,4
900,0,13
901,435,5
902,2310,7
903,885,10
904,501,5
905,1490,4
906,1392,4
907,549,4
908,1860,5
909,2882,7
910,519,15
911,1714,3
912,524,6
913,241,3
914,639,3
915,1047,6
916,577,11
917,1336,15
918,712,7
919,2671,7
920,2659,6
921,8344,17
922,906,4
923,1442,5
924,709,3
925,600,5
926,3834,28
927,1180,6
928,2455,13
929,2244,16
930,517,4
931,1711,8
932,1443,5
933,1663,5
934,222,3
935,1351,11
936,2171,13
937,420,6
938,191,8
939,997,12
940,4369,20
941,558,5
942,654,6
943,656,26
944,2148,4
945,1336,9
946,823,10
947,6140,10
948,2110,4
949,1705,10
950,572,5
951,3747,23
952,616,4
953,610,5
954,915,9
955,241,7
956,820,1
957,2914,5
958,1692,13
959,1395,5
960,1747,3
961,1052,11
962,622,5
963,632,8
964,4112,8
965,1721,5
966,3316,8
967,626,4
968,2996,9
969,384,7
970,1065,16
971,758,6
972,1180,5
973,529,4
974,6356,32
975,511,5
976,520,3
977,248,5
978,3051,16
979,2748,9
980,431,3
981,1440,7
982,1015,5
983,463,2
984,2136,6
985,909,14
986,224,8
987,215,6
988,854,12
989,546,5
990,1174,4
991,589,4
992,625,5
993,1444,9
994,423,5
995,591,6
996,1747,6
997,1340,9
998,2088,8
999,1474,4
1000,2119,21
1001,0,13
1002,181,4
1003,956,7
1004,1464,4
1005,499,2
1006,1715,7
1007,1440,4
1008,677,2
1009,632,4
1010,1721,8
1011,425,5
1012,640,3
1013,1320,3
1014,1040,8
1015,1499,3
1016,687,5
1017,2019,19
1018,722,5
1019,1015,11
1020,1340,19
1021,520,8
1022,1201,5
1023,501,5
1024,363,2
1025,666,10
1026,594,6
1027,1197,7
1028,589,6
1029,523,5
1030,224,7
1031,425,6
1032,435,1
1033,2039,8
1034,879,9
1035,605,4
1036,596,5
1037,1617,3
1038,2184,4
1039,1089,7
1040,494,5
1041,442,4
1042,1085,4
1043,436,4
1044,903,6
1045,868,5
1046,867,6
1047,744,5
1048,3263,20
1049,1562,3
1050,591,6
1051,905,4
1052,3066,11
1053,864,3
1054,290,4
1055,616,4
1056,870,6
1057,747,5
1058,1414,9
1059,691,4
1060,1052,4
1061,518,5
1062,383,4
1063,951,10
1064,626,5
1065,497,5
1066,1494,2
1067,12888,50
1068,1655,18
1069,459,5
1070,708,6
1071,644,6
1072,437,4
1073,571,4
1074,3812,6
1075,1440,4
1076,425,5
1077,4459,10
1078,714,4
1079,1086,5
1080,870,5
1081,495,6
1082,536,6
1083,3066,8
1084,204,3
1085,1103,9
1086,605,3
1087,1898,16
1088,8066,3
1089,7696,7
1090,539,5
1091,633,5
1092,5526,18
1093,1915,5
1094,428,5
1095,638,5
1096,519,6
1097,1076,11
1098,1747,4
1099,4513,4
1100,2326,6
1101,587,5
1102,321,4
1103,1582,2
1104,1049,6
1105,901,3
1106,867,10
1107,625,10
1108,589,5
1109,1316,10
1110,792,10
1111,531,5
1112,0,6
1113,1096,6
1114,713,4
1115,456,4
1116,1600,5
1117,1024,16
1118,3536,12
1119,178,6
1120,249,4
1121,6504,35
1122,320,27
1123,295,2
1124,660,3
1125,555,6
1126,1795,3
1127,614,3
1128,1483,4
1129,1350,10
1130,224,4
1131,445,5
1132,1774,8
1133,3774,16
1134,1487,6
1135,617,6
1136,348,6
1137,986,5
1138,1075,8
1139,224,3
1140,705,6
1141,655,4
1142,1249,15
1143,1715,8
1144,2040,50
1145,1467,4
1146,517,4
1147,2310,10
1148,1411,4
1149,6109,10
1150,1132,9
1151,2976,7
1152,224,8
1153,412,5
1154,596,6
1155,570,6
1156,588,4
1157,763,3
1158,524,2
1159,972,4
1160,384,8
1161,433,4
1162,2119,7
1163,2150,44
1164,687,7
1165,1444,5
1166,453,5
1167,8199,6
1168,548,1
1169,674,5
1170,613,5
1171,587,5
1172,1117,10
1173,264,6
1174,3356,9
1175,1524,6
1176,1697,6
1177,349,4
1178,734,9
1179,521,5
1180,614,5
1181,5568,78
1182,1439,8
1183,596,4
1184,1547,4
1185,310,1
1186,4525,5
1187,580,5
1188,590,4
1189,1457,5
1190,337,2
1191,376,4
1192,1092,6
1193,1852,3
1194,337,2
1195,1257,5
1196,678,7
1197,476,4
1198,1697,3
1199,436,2
1200,838,2
1201,8228,3
1202,1055,6
1203,907,9
1204,525,4
1205,1492,6
1206,578,5
1207,1864,5
1208,659,2
1209,2449,3
1210,1231,14
1211,1513,3
1212,1156,6
1213,868,10
1214,184,4
1215,1219,5
1216,3034,20
1217,796,4
1218,585,4
1219,494,4
1220,2445,15
1221,1896,16
1222,705,4
1223,1008,8
1224,897,5
1225,996,7
1226,2730,19
1227,459,5
1228,3262,8
1229,436,4
1230,1251,15
1231,1067,18
1232,749,5
1233,253,7
1234,4393,4
1235,984,12
1236,1173,5
1237,1455,3
1238,447,5
1239,626,13
1240,671,5
1241,425,6
1242,620,4
1243,852,6
1244,8344,10
1245,532,6
1246,2872,7
1247,384,9
1248,2834,6
1249,2310,11
1250,742,4
1251,685,5
1252,458,3
1253,456,4
1254,669,4
1255,1964,8
1256,1265,6
1257,518,4
1258,3204,16
1259,451,4
1260,2324,11
1261,337,2
1262,306,4
1263,889,3
1264,38,7
1265,867,5
1266,625,6
1267,1370,11
1268,820,2
1269,1848,14
1270,1222,19
1271,348,4
1272,1721,3
1273,554,4
1274,721,3
1275,897,3
1276,1002,3
1277,1028,4
1278,397,5
1279,1956,18
1280,1282,4
1281,567,6
1282,446,2
1283,598,5
1284,2280,6
1285,313,3
1286,579,6
1287,532,3
1288,447,3
1289,1327,4
1290,2379,12
1291,383,9
1292,3060,9
1293,519,4
1294,1661,6
1295,1872,11
1296,565,7
1297,1120,3
1298,539,9
1299,476,5
1300,565,5
1301,768,5
1302,1364,32
1303,533,8
1304,5053,4
1305,716,4
1306,603,7
1307,838,2
1308,2272,11
1309,377,3
1310,790,3
1311,2064,8
1312,517,4
1313,1496,4
1314,452,5
1315,668,5
1316,529,3
1317,570,4
1318,544,11
1319,346,4
1320,523,5
1321,2974,5
1322,1156,11
1323,620,4
1324,573,7
1325,576,3
1326,796,4
1327,1404,8
1328,1378,3
1329,885,5
1330,423,4
1331,556,3
1332,545,3
1333,615,6
1334,4338,41
1335,431,7
1336,623,5
1337,1851,3
1338,207,7
1339,749,5
1340,2688,3
1341,440,3
1342,684,15
1343,2434,11
1344,499,3
1345,716,5
1346,481,6
1347,413,4
1348,382,5
1349,722,4
1350,367,4
1351,2154,16
1352,447,2
1353,902,2
1354,1017,1
1355,1016,7
1356,726,4
1357,862,18
1358,1431,8
1359,1582,2
1360,427,5
1361,489,3
1362,1219,11
1363,1162,2
1364,1089,3
1365,1241,25
1366,1444,4
1367,1219,8
1368,363,4
1369,517,4
1370,530,4
1371,1856,8
1372,6128,26
1373,1717,5
1374,1358,7
1375,309,2
1376,1026,11
1377,609,2
1378,2936,16
1379,1420,11
1380,1124,12
1381,864,7
1382,1931,10
1383,590,5
1384,687,4
1385,1137,10
1386,1026,9
1387,1486,4
1388,341,5
1389,420,8
1390,408,6
1391,521,4
1392,2305,8
1393,8199,8
1394,874,4
1395,552,5
1396,1067,4
1397,836,5
1398,620,4
1399,519,12
1400,3104,10
1401,741,4
1402,689,3
1403,964,7
1404,1427,7
1405,283,5
1406,2922,4
1407,384,8
1408,1579,4
1409,205,6
1410,1038,10
1411,1267,6
1412,2463,5
1413,259,4
1414,2188,7
1415,436,6
1416,321,5
1417,756,5
1418,1972,4
1419,480,6
1420,3204,20
1421,1396,12
1422,579,3
1423,620,3
1424,753,4
1425,815,3
1426,622,5
1427,254,3
1428,260,5
1429,1402,35
1430,2449,3
1431,731,5
1432,896,115
1433,3810,11
1434,2227,4
1435,649,5
1436,1083,4
1437,1382,5
1438,1681,4
1439,606,10
1440,1004,4
1441,739,6
1442,520,4
1443,753,4
1444,595,5
1445,1001,9
1446,2808,29
1447,8256,32
1448,3330,10
1449,590,8
1450,2896,20
1451,3380,23
1452,777,5
1453,524,5
1454,436,2
1455,557,6
1456,508,7
1457,2794,12
1458,1335,4
1459,452,7
1460,631,5
1461,512,9
1462,2244,8
1463,706,4
1464,476,5
1465,5729,68
1466,562,5
1467,599,7
1468,743,6
1469,1061,9
1470,519,3
1471,977,6
1472,325,5
1473,478,4
1474,427,5
1475,3048,11
1476,768,12
1477,1518,6
1478,494,10
1479,421,8
1480,7046,10
1481,248,6
1482,2326,11
1483,427,5
1484,2338,11
1485,1238,8
1486,1086,5
1487,546,2
1488,322,2
1489,774,4
1490,568,5
1491,1472,4
1492,601,4
1493,975,30
1494,540,4
1495,381,8
1496,494,5
1497,2740,15
1498,1829,4
1499,2702,7
1500,713,3
1501,3170,28
1502,302,14
1503,1698,8
1504,2146,3
1505,2859,13
1506,380,5
1507,1547,2
1508,501,5
1509,1334,8
1510,1627,9
1511,625,2
1512,566,3
1513,0,6
1514,2286,4
1515,1160,10
1516,1750,8
1517,1021,6
1518,423,4
1519,1692,4
1520,2020,7
1521,1966,15
1522,860,3
1523,620,2
1524,968,7
1525,436,5
1526,612,4
1527,592,6
1528,4512,7
1529,1525,9
1530,1443,10
1531,719,3
1532,1498,8
1533,2630,5
1534,1077,5
1535,1124,7
1536,625,2
1537,2022,6
1538,693,4
1539,516,17
1540,521,3
1541,1894,21
1542,2184,4
1543,580,6
1544,1072,4
1545,703,3
1546,222,3
1547,1878,5
1548,6039,11
1549,2310,7
1550,1081,4
1551,1031,7
1552,248,3
1553,521,4
1554,684,6
1555,938,6
1556,328,14
1557,278,3
1558,1257,5
1559,520,8
1560,354,1
1561,2303,7
1562,677,4
1563,10816,94
1564,1132,10
1565,1747,1
1566,1554,35
1567,1268,7
1568,1432,10
1569,639,5
1570,616,3
1571,1758,4
1572,4168,12
1573,760,20
1574,800,9
1575,3792,10
1576,577,5
1577,13650,125
1578,1145,5
1579,2211,6
1580,876,5
1581,1857,7
1582,1171,11
1583,1053,5
1584,2488,4
1585,2421,7
1586,542,31
1587,598,2
1588,1324,8
1589,591,7
1590,8480,50
1591,831,18
1592,1223,9
1593,523,3
1594,6116,5
1595,558,4
1596,3736,10
1597,727,13
1598,1900,8
1599,993,4
1600,829,6
1601,524,4
1602,726,2
1603,1546,2
1604,2518,18
1605,4612,17
1606,461,6
1607,722,4
1608,1065,28
1609,337,2
1610,454,4
1611,906,6
1612,2420,15
1613,3642,11
1614,453,4
1615,580,6
1616,1693,4
1617,1955,14
1618,1003,5
1619,3446,8
1620,574,6
1621,429,5
1622,463,2
1623,677,4
1624,504,2
1625,4351,6
1626,521,8
1627,2021,6
1628,467,7
1629,622,3
1630,569,6
1631,3098,18
1632,481,7
1633,1092,15
1634,1997,4
1635,523,3
1636,481,3
1637,1695,5
1638,467,3
1639,2017,9
1640,533,3
1641,1582,5
1642,811,3
1643,291,10
1644,812,3
1645,1996,15
1646,1717,3
1647,1721,3
1648,1014,14
1649,249,5
1650,1222,11
1651,3640,14
1652,980,10
1653,468,6
1654,599,3
1655,977,5
1656,2598,18
1657,590,5
1658,436,5
1659,675,7
1660,641,8
1661,735,4
1662,708,5
1663,749,5
1664,2196,16
1665,326,2
1666,1552,7
1667,1782,5
1668,1412,4
1669,630,4
1670,2490,10
1671,466,8
1672,706,6
1673,653,9
1674,559,5
1675,425,5
1676,1721,6
1677,2208,9
1678,1536,23
1679,1072,13
1680,994,15
1681,519,1
1682,1076,6
1683,525,4
1684,436,5
1685,481,4
1686,1980,28
1687,1083,2
1688,700,5
1689,469,6
1690,1532,9
1691,14102,15
1692,3061,19
1693,3744,15
1694,764,4
1695,260,4
1696,3066,9
1697,1444,9
1698,1044,14
1699,2035,5
1700,1853,12
1701,1158,23
1702,1374,3
1703,160,3
1704,541,5
1705,697,2
1706,888,4
1707,964,7
1708,734,9
1709,1062,25
1710,534,4
1711,501,4
1712,708,4
1713,956,7
1714,2226,5
1715,302,5
1716,3834,14
1717,888,4
1718,888,2
1719,224,5
1720,501,5
1721,523,6
1722,1586,3
1723,581,7
1724,481,5
1725,1747,3
1726,1852,23
1727,1124,11
1728,569,4
1729,736,10
1730,596,6
1731,777,3
1732,966,7
1733,868,4
1734,1753,4
1735,554,10
1736,3469,2
1737,521,5
1738,1578,6
1739,1562,9
1740,838,5
1741,606,8
1742,830,3
1743,1672,3
1744,951,3
1745,327,4
1746,807,7
1747,1927,6
1748,335,6
1749,2860,7
1750,1750,9
1751,1032,17
1752,0,18
1753,764,4
1754,1187,6
1755,2875,6
1756,798,4
1757,840,4
1758,883,11
1759,3091,8
1760,1313,13
1761,687,8
1762,1577,20
1763,384,8
1764,646,3
1765,1513,2
1766,1336,7
1767,1767,4
1768,713,2
1769,1031,5
1770,9588,35
1771,1065,8
1772,2312,11
1773,498,6
1774,1112,6
1775,970,7
1776,3420,22
1777,1513,3
1778,1063,12
1779,3624,26
1780,717,3
1781,0,46
1782,598,1
1783,1376,4
1784,3926,7
1785,504,4
1786,543,11
1787,1574,5
1788,645,23
1789,1721,6
1790,1369,3
1791,1750,4
1792,1013,7
1793,1468,7
1794,1460,13
1795,620,3
1796,1036,9
1797,749,5
1798,1022,7
1799,892,8
1800,467,4
1801,900,7
1802,414,4
1803,577,4
1804,936,14
1805,254,5
1806,848,17
1807,522,5
1808,743,7
1809,2588,20
1810,2008,4
1811,581,9
1812,1194,6
1813,2242,7
1814,601,5
1815,589,8
1816,1034,4
1817,1341,3
1818,1055,4
1819,644,1
1820,1027,2
1821,505,2
1822,585,8
1823,1448,9
1824,639,2
1825,1086,11
1826,592,6
1827,1252,4
1828,626,5
1829,2548,8
1830,610,3
1831,424,4
1832,635,3
1833,620,5
1834,430,4
1835,968,11
1836,959,6
1837,474,2
1838,1714,4
1839,646,3
1840,1256,4
1841,555,5
1842,1298,3
1843,854,9
1844,531,3
1845,1860,5
1846,1008,2
1847,2976,13
1848,1658,9
1849,3904,22
1850,4052,7
1851,494,10
1852,906,15
1853,911,8
1854,382,10
1855,566,5
1856,1015,6
1857,1578,5
1858,571,6
1859,861,2
1860,6140,9
1861,875,5
1862,218,7
1863,337,2
1864,708,8
1865,612,4
1866,1790,9
1867,597,5
1868,895,5
1869,715,9
1870,420,8
1871,892,4
1872,1429,15
1873,3707,74
1874,1186,4
1875,402,3
1876,0,125
1877,519,13
1878,776,13
1879,4224,12
1880,592,6
1881,709,5
1882,9876,8
1883,948,4
1884,646,4
1885,742,3
1886,4347,4
1887,645,4
1888,508,3
1889,506,13
1890,872,5
1891,7160,37
1892,902,5
1893,478,7
1894,323,5
1895,882,10
1896,384,8
1897,1578,6
1898,2035,5
1899,738,11
1900,1124,22
1901,532,3
1902,562,5
1903,385,7
1904,449,5
1905,3812,6
1906,6500,5
1907,713,2
1908,8672,53
1909,997,6
1910,369,5
1911,2062,6
1912,517,4
1913,224,5
1914,729,3
1915,836,6
1916,1320,4
1917,1829,2
1918,596,6
1919,838,6
1920,504,6
1921,688,9
1922,1932,4
1923,894,7
1924,1721,6
1925,502,6
1926,584,5
1927,10581,64
1928,263,2
1929,567,4
1930,734,3
1931,728,4
1932,770,3
1933,568,4
1934,836,6
1935,224,8
1936,930,9
1937,337,2
1938,1864,8
1939,718,6
1940,561,5
1941,429,5
1942,5321,25
1943,973,7
1944,1872,11
1945,1645,27
1946,1721,5
1947,601,4
1948,384,8
1949,644,2
1950,610,5
1951,529,6
1952,398,5
1953,1452,7
1954,4707,6
1955,546,6
1956,1220,6
1957,1822,11
1958,244,6
1959,1480,4
1960,0,4
1961,518,4
1962,518,3
1963,441,6
1964,709,5
1965,439,5
1966,523,5
1967,2316,9
1968,807,9
1969,600,3
1970,570,9
1971,2042,4
1972,425,6
1973,1827,6
1974,1878,7
1975,1721,6
1976,885,10
1977,1226,6
1978,3066,8
1979,1676,2
1980,838,7
1981,924,4
1982,2976,6
1983,449,6
1984,565,6
1985,603,3
1986,384,8
1987,898,9
1988,524,6
1989,703,7
1990,5490,9
1991,525,4
1992,728,2
1993,1488,6
1994,521,4
1995,1470,4
1996,1204,8
1997,536,5
1998,2452,8
1999,5398,73
2000,2450,18
2001,3131,38
2002,723,6
2003,427,5
2004,664,5
2005,1110,10
2006,622,5
2007,1032,8
2008,760,11
2009,753,6
2010,2052,7
2011,2270,11
2012,6140,8
2013,1694,4
